C1,C2,weight
Informatik,Artificial,0.649717514124294
Informatik,Intelligenz,0.909604519774011
Informatik,John,0.361581920903955
Informatik,Intelligence,0.661016949152542
Informatik,Teilgebiet,0.711864406779661
Informatik,Verhaltens,0.621468926553672
Artificial,Intelligenz,0.655367231638418
Artificial,Intelligence,0.72316384180791
Artificial,Original,0.361581920903955
Definition,Begriff,0.649717514124294
Intelligenz,Intelligence,0.64406779661017
Intelligenz,Begriff,1
Intelligenz,Maschine,0.632768361581921
Intelligenz,Menschen,0.632768361581921
Intelligenz,Lernen,0.502824858757062
Intelligenz,Fähigkeiten,0.661016949152542
Intelligenz,Teilgebiet,0.638418079096045
Intelligenz,Verhaltens,0.813559322033898
Intelligenz,Denken,0.632768361581921
John,Mccarthy,0.361581920903955
Maschine,Denken,0.666666666666667
Teilgebiet,Verhaltens,0.598870056497175
C,CT
Artificial
Begriff
Definition
Denken
Fähigkeiten
Informatik
Intelligence
Intelligenz
John
Lernen
Maschine
Mccarthy
Menschen
Original
Teilgebiet
Verhaltens
